Time,CPU,%user,%nice,%system,%iowait,%steal,%idle
2020-06-27 06:10:26,0,1.01,0.00,1.01,0.00,0.00,97.98
2020-06-27 06:10:26,1,5.00,0.00,2.00,0.00,0.00,93.00
2020-06-27 06:10:26,2,4.12,0.00,1.03,0.00,0.00,94.85
2020-06-27 06:10:26,3,3.09,0.00,1.03,0.00,0.00,95.88
2020-06-27 06:10:26,4,1.03,0.00,5.15,0.00,0.00,93.81
2020-06-27 06:10:26,5,1.01,0.00,0.00,0.00,0.00,98.99
2020-06-27 06:10:26,6,2.11,0.00,10.53,0.00,0.00,87.37
2020-06-27 06:10:26,7,7.14,0.00,3.06,0.00,0.00,89.80
2020-06-27 06:10:27,0,2.06,0.00,0.00,0.00,0.00,97.94
2020-06-27 06:10:27,1,1.02,0.00,1.02,0.00,0.00,97.96
2020-06-27 06:10:27,2,3.06,0.00,1.02,0.00,0.00,95.92
2020-06-27 06:10:27,3,3.03,0.00,0.00,0.00,0.00,96.97
2020-06-27 06:10:27,4,5.05,0.00,4.04,0.00,0.00,90.91
2020-06-27 06:10:27,5,2.02,0.00,1.01,0.00,0.00,96.97
2020-06-27 06:10:27,6,1.06,0.00,7.45,1.06,0.00,90.43
2020-06-27 06:10:27,7,2.02,0.00,1.01,0.00,0.00,96.97
2020-06-27 06:10:28,0,1.01,0.00,1.01,1.01,0.00,96.97
2020-06-27 06:10:28,1,1.01,0.00,2.02,0.00,0.00,96.97
2020-06-27 06:10:28,2,2.04,0.00,2.04,0.00,0.00,95.92
2020-06-27 06:10:28,3,6.06,0.00,1.01,0.00,0.00,92.93
2020-06-27 06:10:28,4,3.06,0.00,5.10,0.00,0.00,91.84
2020-06-27 06:10:28,5,1.01,0.00,2.02,0.00,0.00,96.97
2020-06-27 06:10:28,6,0.00,0.00,8.51,0.00,0.00,91.49
2020-06-27 06:10:28,7,3.06,0.00,2.04,0.00,0.00,94.90
2020-06-27 06:10:29,0,1.01,0.00,0.00,0.00,0.00,98.99
2020-06-27 06:10:29,1,1.01,0.00,1.01,0.00,0.00,97.98
2020-06-27 06:10:29,2,1.03,0.00,0.00,0.00,0.00,98.97
2020-06-27 06:10:29,3,2.00,0.00,1.00,0.00,0.00,97.00
2020-06-27 06:10:29,4,1.03,0.00,5.15,0.00,0.00,93.81
2020-06-27 06:10:29,5,1.01,0.00,1.01,0.00,0.00,97.98
2020-06-27 06:10:29,6,1.04,0.00,8.33,0.00,0.00,90.62
2020-06-27 06:10:29,7,1.01,0.00,2.02,0.00,0.00,96.97
2020-06-27 06:10:30,0,2.04,0.00,1.02,0.00,0.00,96.94
2020-06-27 06:10:30,1,6.00,0.00,4.00,0.00,0.00,90.00
2020-06-27 06:10:30,2,2.04,0.00,2.04,0.00,0.00,95.92
2020-06-27 06:10:30,3,20.20,0.00,2.02,0.00,0.00,77.78
2020-06-27 06:10:30,4,1.03,0.00,3.09,0.00,0.00,95.88
2020-06-27 06:10:30,5,2.97,0.00,1.98,0.00,0.00,95.05
2020-06-27 06:10:30,6,1.03,0.00,5.15,0.00,0.00,93.81
2020-06-27 06:10:30,7,21.43,0.00,4.08,0.00,0.00,74.49
2020-06-27 06:10:31,0,3.03,0.00,0.00,0.00,0.00,96.97
2020-06-27 06:10:31,1,5.00,0.00,2.00,0.00,0.00,93.00
2020-06-27 06:10:31,2,0.99,0.00,0.99,0.99,0.00,97.03
2020-06-27 06:10:31,3,1.02,0.00,0.00,0.00,0.00,98.98
2020-06-27 06:10:31,4,0.00,0.00,4.04,0.00,0.00,95.96
2020-06-27 06:10:31,5,1.01,0.00,1.01,0.00,0.00,97.98
2020-06-27 06:10:31,6,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:31,7,1.02,0.00,0.00,0.00,0.00,98.98
2020-06-27 06:10:32,0,1.00,0.00,1.00,0.00,0.00,98.00
2020-06-27 06:10:32,1,6.06,0.00,1.01,0.00,0.00,92.93
2020-06-27 06:10:32,2,0.00,0.00,1.01,0.00,0.00,98.99
2020-06-27 06:10:32,3,2.02,0.00,0.00,0.00,0.00,97.98
2020-06-27 06:10:32,4,1.01,0.00,7.07,0.00,0.00,91.92
2020-06-27 06:10:32,5,10.10,0.00,1.01,0.00,0.00,88.89
2020-06-27 06:10:32,6,1.02,0.00,0.00,0.00,0.00,98.98
2020-06-27 06:10:32,7,2.06,0.00,2.06,0.00,0.00,95.88
2020-06-27 06:10:33,0,0.00,0.00,1.01,0.00,0.00,98.99
2020-06-27 06:10:33,1,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:33,2,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:33,3,0.00,0.00,1.00,0.00,0.00,99.00
2020-06-27 06:10:33,4,1.00,0.00,6.00,0.00,0.00,93.00
2020-06-27 06:10:33,5,1.01,0.00,0.00,0.00,0.00,98.99
2020-06-27 06:10:33,6,0.00,0.00,1.00,0.00,0.00,99.00
2020-06-27 06:10:33,7,0.00,0.00,2.06,0.00,0.00,97.94
2020-06-27 06:10:34,0,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:34,1,0.00,0.00,0.99,0.00,0.00,99.01
2020-06-27 06:10:34,2,1.00,0.00,0.00,0.00,0.00,99.00
2020-06-27 06:10:34,3,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:34,4,0.00,0.00,5.05,0.00,0.00,94.95
2020-06-27 06:10:34,5,1.01,0.00,0.00,0.00,0.00,98.99
2020-06-27 06:10:34,6,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:34,7,1.02,0.00,1.02,0.00,0.00,97.96
2020-06-27 06:10:35,0,1.00,0.00,8.00,0.00,0.00,91.00
2020-06-27 06:10:35,1,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:35,2,0.00,0.00,1.00,0.00,0.00,99.00
2020-06-27 06:10:35,3,1.01,0.00,0.00,0.00,0.00,98.99
2020-06-27 06:10:35,4,0.00,0.00,2.00,0.00,0.00,98.00
2020-06-27 06:10:35,5,0.99,0.00,0.99,0.00,0.00,98.02
2020-06-27 06:10:35,6,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:35,7,1.04,0.00,2.08,0.00,0.00,96.88
2020-06-27 06:10:36,0,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:36,1,0.00,0.00,0.99,0.00,0.00,99.01
2020-06-27 06:10:36,2,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:36,3,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:36,4,1.02,0.00,8.16,0.00,0.00,90.82
2020-06-27 06:10:36,5,1.00,0.00,0.00,0.00,0.00,99.00
2020-06-27 06:10:36,6,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:36,7,1.02,0.00,2.04,0.00,0.00,96.94
2020-06-27 06:10:37,0,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:37,1,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:37,2,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:37,3,0.99,0.00,0.99,0.00,0.00,98.02
2020-06-27 06:10:37,4,0.00,0.00,7.22,0.00,0.00,92.78
2020-06-27 06:10:37,5,2.02,0.00,0.00,0.00,0.00,97.98
2020-06-27 06:10:37,6,1.01,0.00,0.00,0.00,0.00,98.99
2020-06-27 06:10:37,7,0.00,0.00,2.06,1.03,0.00,96.91
2020-06-27 06:10:38,0,0.99,0.00,0.99,0.99,0.00,97.03
2020-06-27 06:10:38,1,1.01,0.00,0.00,0.00,0.00,98.99
2020-06-27 06:10:38,2,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:38,3,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:38,4,1.00,0.00,2.00,0.00,0.00,97.00
2020-06-27 06:10:38,5,1.98,0.00,0.99,0.00,0.00,97.03
2020-06-27 06:10:38,6,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:38,7,0.00,0.00,1.01,0.00,0.00,98.99
2020-06-27 06:10:39,0,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:39,1,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:39,2,0.99,0.00,0.99,0.00,0.00,98.02
2020-06-27 06:10:39,3,1.00,0.00,0.00,0.00,0.00,99.00
2020-06-27 06:10:39,4,0.00,0.00,8.16,0.00,0.00,91.84
2020-06-27 06:10:39,5,1.01,0.00,0.00,0.00,0.00,98.99
2020-06-27 06:10:39,6,0.00,0.00,0.00,0.00,0.00,100.00
2020-06-27 06:10:39,7,0.00,0.00,2.06,0.00,0.00,97.94
2020-06-27 06:10:40,0,1.00,0.00,0.00,0.00,0.00,99.00
2020-06-27 06:10:40,1,0.00,0.00,1.00,0.00,0.00,99.00
2020-06-27 06:10:40,2,0.00,0.00,0.00,0.00,0.00,100.00
