Linux 5.4.0-39-lowlatency (jelly) 	06/27/2020 	_x86_64_	(8 CPU)

06:14:44 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:14:45 AM     all      0.76      0.00      2.42      0.00      0.00     96.82
06:14:45 AM       0      1.03      0.00      0.00      0.00      0.00     98.97
06:14:45 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
06:14:45 AM       2      1.01      0.00      1.01      0.00      0.00     97.98
06:14:45 AM       3      2.00      0.00      1.00      0.00      0.00     97.00
06:14:45 AM       4      1.01      0.00      6.06      0.00      0.00     92.93
06:14:45 AM       5      1.00      0.00      2.00      0.00      0.00     97.00
06:14:45 AM       6      0.00      0.00      7.37      0.00      0.00     92.63
06:14:45 AM       7      0.00      0.00      2.04      0.00      0.00     97.96

06:14:45 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:14:46 AM     all      1.65      0.00      2.42      0.00      0.00     95.93
06:14:46 AM       0      1.01      0.00      1.01      0.00      0.00     97.98
06:14:46 AM       1      1.98      0.00      1.98      0.00      0.00     96.04
06:14:46 AM       2      3.03      0.00      1.01      0.00      0.00     95.96
06:14:46 AM       3      3.06      0.00      1.02      0.00      0.00     95.92
06:14:46 AM       4      1.03      0.00      4.12      0.00      0.00     94.85
06:14:46 AM       5      2.00      0.00      1.00      0.00      0.00     97.00
06:14:46 AM       6      1.05      0.00      8.42      0.00      0.00     90.53
06:14:46 AM       7      0.00      0.00      1.03      0.00      0.00     98.97

06:14:46 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:14:47 AM     all      1.64      0.00      1.77      0.00      0.00     96.59
06:14:47 AM       0      2.97      0.00      0.99      0.00      0.00     96.04
06:14:47 AM       1      1.02      0.00      1.02      0.00      0.00     97.96
06:14:47 AM       2      1.01      0.00      1.01      0.00      0.00     97.98
06:14:47 AM       3      1.00      0.00      0.00      0.00      0.00     99.00
06:14:47 AM       4      2.00      0.00      2.00      0.00      0.00     96.00
06:14:47 AM       5      3.06      0.00      0.00      0.00      0.00     96.94
06:14:47 AM       6      1.05      0.00      8.42      0.00      0.00     90.53
06:14:47 AM       7      1.00      0.00      1.00      0.00      0.00     98.00

06:14:47 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:14:48 AM     all      1.40      0.00      1.52      0.13      0.00     96.95
06:14:48 AM       0      1.02      0.00      0.00      1.02      0.00     97.96
06:14:48 AM       1      2.97      0.00      1.98      0.00      0.00     95.05
06:14:48 AM       2      1.02      0.00      0.00      0.00      0.00     98.98
06:14:48 AM       3      2.00      0.00      1.00      0.00      0.00     97.00
06:14:48 AM       4      1.02      0.00      0.00      0.00      0.00     98.98
06:14:48 AM       5      2.02      0.00      1.01      0.00      0.00     96.97
06:14:48 AM       6      0.00      0.00      7.37      0.00      0.00     92.63
06:14:48 AM       7      1.01      0.00      1.01      0.00      0.00     97.98

06:14:48 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:14:49 AM     all      1.28      0.00      2.43      0.00      0.00     96.29
06:14:49 AM       0      2.06      0.00      0.00      0.00      0.00     97.94
06:14:49 AM       1      1.01      0.00      1.01      0.00      0.00     97.98
06:14:49 AM       2      1.01      0.00      0.00      0.00      0.00     98.99
06:14:49 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
06:14:49 AM       4      2.02      0.00      7.07      0.00      0.00     90.91
06:14:49 AM       5      1.01      0.00      1.01      0.00      0.00     97.98
06:14:49 AM       6      1.06      0.00      8.51      0.00      0.00     90.43
06:14:49 AM       7      2.04      0.00      2.04      0.00      0.00     95.92

06:14:49 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:14:50 AM     all      1.28      0.00      2.68      0.13      0.00     95.91
06:14:50 AM       0      2.00      0.00      1.00      1.00      0.00     96.00
06:14:50 AM       1      1.02      0.00      0.00      0.00      0.00     98.98
06:14:50 AM       2      1.01      0.00      1.01      0.00      0.00     97.98
06:14:50 AM       3      3.06      0.00      1.02      0.00      0.00     95.92
06:14:50 AM       4      0.00      0.00      8.25      0.00      0.00     91.75
06:14:50 AM       5      1.02      0.00      0.00      0.00      0.00     98.98
06:14:50 AM       6      1.05      0.00      8.42      0.00      0.00     90.53
06:14:50 AM       7      1.02      0.00      2.04      0.00      0.00     96.94

06:14:50 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:14:51 AM     all      1.15      0.00      2.80      0.00      0.00     96.05
06:14:51 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:14:51 AM       1      2.02      0.00      2.02      0.00      0.00     95.96
06:14:51 AM       2      1.02      0.00      1.02      0.00      0.00     97.96
06:14:51 AM       3      1.00      0.00      2.00      0.00      0.00     97.00
06:14:51 AM       4      1.01      0.00      6.06      0.00      0.00     92.93
06:14:51 AM       5      1.01      0.00      1.01      0.00      0.00     97.98
06:14:51 AM       6      0.00      0.00      8.42      0.00      0.00     91.58
06:14:51 AM       7      3.09      0.00      2.06      0.00      0.00     94.85

06:14:51 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:14:52 AM     all      3.46      0.00      2.94      0.00      0.00     93.60
06:14:52 AM       0      4.08      0.00      1.02      0.00      0.00     94.90
06:14:52 AM       1      3.03      0.00      2.02      0.00      0.00     94.95
06:14:52 AM       2      5.10      0.00      1.02      0.00      0.00     93.88
06:14:52 AM       3      4.04      0.00      1.01      0.00      0.00     94.95
06:14:52 AM       4      2.02      0.00      7.07      0.00      0.00     90.91
06:14:52 AM       5      4.08      0.00      1.02      0.00      0.00     94.90
06:14:52 AM       6      2.15      0.00      8.60      0.00      0.00     89.25
06:14:52 AM       7      3.09      0.00      2.06      0.00      0.00     94.85

06:14:52 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:14:53 AM     all      2.28      0.00      1.52      0.13      0.00     96.07
06:14:53 AM       0      1.02      0.00      0.00      0.00      0.00     98.98
06:14:53 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
06:14:53 AM       2      1.00      0.00      1.00      0.00      0.00     98.00
06:14:53 AM       3      0.00      0.00      1.01      0.00      0.00     98.99
06:14:53 AM       4      2.00      0.00      1.00      0.00      0.00     97.00
06:14:53 AM       5      2.02      0.00      0.00      0.00      0.00     97.98
06:14:53 AM       6      0.00      0.00      7.37      0.00      0.00     92.63
06:14:53 AM       7     12.12      0.00      2.02      1.01      0.00     84.85

06:14:53 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:14:54 AM     all      4.81      0.00      2.53      0.00      0.00     92.66
06:14:54 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:14:54 AM       1      1.98      0.00      1.98      0.00      0.00     96.04
06:14:54 AM       2      6.12      0.00      2.04      0.00      0.00     91.84
06:14:54 AM       3      3.03      0.00      1.01      0.00      0.00     95.96
06:14:54 AM       4      1.02      0.00      7.14      0.00      0.00     91.84
06:14:54 AM       5      3.00      0.00      1.00      0.00      0.00     96.00
06:14:54 AM       6      1.02      0.00      3.06      0.00      0.00     95.92
06:14:54 AM       7     22.45      0.00      4.08      0.00      0.00     73.47

06:14:54 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:14:55 AM     all      3.18      0.00      2.67      0.00      0.00     94.15
06:14:55 AM       0      1.02      0.00      1.02      0.00      0.00     97.96
06:14:55 AM       1      3.09      0.00      3.09      0.00      0.00     93.81
06:14:55 AM       2      1.00      0.00      1.00      0.00      0.00     98.00
06:14:55 AM       3      2.04      0.00      2.04      0.00      0.00     95.92
06:14:55 AM       4      1.01      0.00      7.07      0.00      0.00     91.92
06:14:55 AM       5      5.10      0.00      2.04      0.00      0.00     92.86
06:14:55 AM       6      5.10      0.00      2.04      0.00      0.00     92.86
06:14:55 AM       7      7.14      0.00      3.06      0.00      0.00     89.80

06:14:55 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:14:56 AM     all      1.64      0.00      0.63      0.13      0.00     97.60
06:14:56 AM       0      1.01      0.00      0.00      0.00      0.00     98.99
06:14:56 AM       1      3.96      0.00      0.99      0.00      0.00     95.05
06:14:56 AM       2      1.01      0.00      0.00      0.00      0.00     98.99
06:14:56 AM       3      1.01      0.00      1.01      0.00      0.00     97.98
06:14:56 AM       4      2.02      0.00      2.02      0.00      0.00     95.96
06:14:56 AM       5      1.01      0.00      0.00      0.00      0.00     98.99
06:14:56 AM       6      1.01      0.00      0.00      1.01      0.00     97.98
06:14:56 AM       7      2.04      0.00      1.02      0.00      0.00     96.94

06:14:56 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:14:57 AM     all      3.02      0.00      0.38      0.00      0.00     96.61
06:14:57 AM       0      1.01      0.00      0.00      0.00      0.00     98.99
06:14:57 AM       1      0.00      0.00      1.01      0.00      0.00     98.99
06:14:57 AM       2      1.01      0.00      0.00      0.00      0.00     98.99
06:14:57 AM       3     17.00      0.00      2.00      0.00      0.00     81.00
06:14:57 AM       4      1.00      0.00      0.00      0.00      0.00     99.00
06:14:57 AM       5      2.02      0.00      0.00      0.00      0.00     97.98
06:14:57 AM       6      1.00      0.00      0.00      0.00      0.00     99.00
06:14:57 AM       7      1.00      0.00      0.00      0.00      0.00     99.00

06:14:57 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:14:58 AM     all      1.25      0.00      0.88      0.13      0.00     97.74
06:14:58 AM       0      3.00      0.00      1.00      1.00      0.00     95.00
06:14:58 AM       1      1.00      0.00      0.00      0.00      0.00     99.00
06:14:58 AM       2      0.99      0.00      0.99      0.00      0.00     98.02
06:14:58 AM       3      1.01      0.00      0.00      0.00      0.00     98.99
06:14:58 AM       4      2.02      0.00      2.02      0.00      0.00     95.96
06:14:58 AM       5      1.00      0.00      1.00      0.00      0.00     98.00
06:14:58 AM       6      0.00      0.00      1.01      0.00      0.00     98.99
06:14:58 AM       7      1.01      0.00      1.01      0.00      0.00     97.98

06:14:58 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:14:59 AM     all      0.63      0.00      0.51      0.00      0.00     98.86
