Time,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
2020-06-27 06:14:52,enp0s31f6,11611.00,4.00,16194.03,0.86,0.00,0.00,0.00,13.27
2020-06-27 06:14:52,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:14:52,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:14:53,enp0s31f6,11613.00,5.00,16194.20,0.95,0.00,0.00,2.00,13.27
2020-06-27 06:14:53,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:14:53,wlp3s0,1.00,2.00,0.13,0.39,0.00,0.00,0.00,0.00
2020-06-27 06:14:54,enp0s31f6,11613.00,9.00,16194.20,1.82,0.00,0.00,2.00,13.27
2020-06-27 06:14:54,lo,62.00,62.00,23.03,23.03,0.00,0.00,0.00,0.00
2020-06-27 06:14:54,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:14:55,enp0s31f6,3843.00,23.00,5345.11,2.41,0.00,0.00,0.00,4.38
2020-06-27 06:14:55,lo,47.00,47.00,10.24,10.24,0.00,0.00,0.00,0.00
2020-06-27 06:14:55,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:14:56,enp0s31f6,1.00,4.00,0.09,0.38,0.00,0.00,1.00,0.00
2020-06-27 06:14:56,lo,1.00,1.00,0.35,0.35,0.00,0.00,0.00,0.00
2020-06-27 06:14:56,wlp3s0,1.00,2.00,0.13,0.39,0.00,0.00,0.00,0.00
2020-06-27 06:14:57,enp0s31f6,0.00,2.00,0.00,0.18,0.00,0.00,0.00,0.00
2020-06-27 06:14:57,lo,1.00,1.00,0.35,0.35,0.00,0.00,0.00,0.00
2020-06-27 06:14:57,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:14:58,enp0s31f6,1.00,23.00,0.09,6.98,0.00,0.00,1.00,0.01
2020-06-27 06:14:58,lo,53.00,53.00,26.17,26.17,0.00,0.00,0.00,0.00
2020-06-27 06:14:58,wlp3s0,2.00,4.00,0.15,0.71,0.00,0.00,0.00,0.00
2020-06-27 06:14:59,enp0s31f6,0.00,2.00,0.00,0.18,0.00,0.00,0.00,0.00
2020-06-27 06:14:59,lo,4.00,4.00,0.88,0.88,0.00,0.00,0.00,0.00
2020-06-27 06:14:59,wlp3s0,1.00,2.00,0.13,0.39,0.00,0.00,0.00,0.00
