recv_stamp,msg_stamp
1592492544507660615,1592492544470855830
1592492544644352298,1592492544600537627
1592492544766908747,1592492544730948288
1592492544892055098,1592492544859074564
1592492545021656316,1592492544985700712
1592492545145990424,1592492545116111529
1592492545275328738,1592492545239612514
1592492545401971043,1592492545368512718
1592492545530479601,1592492545495018766
1592492545658361195,1592492545623179621
1592492545786976878,1592492545755192306
1592492545915861185,1592492545883365729
1592492546047959813,1592492546012991650
1592492546172731723,1592492546141152919
1592492546301350938,1592492546270026625
1592492546430481550,1592492546398169276
1592492546557983954,1592492546527916280
1592492546686545335,1592492546655204951
1592492546815080274,1592492546783376338
1592492546929051758,1592492546911496574
1592492547058164909,1592492547027081553
1592492547184558897,1592492547155241989
1592492547313061209,1592492547281793991
1592492547441315212,1592492547409903720
1592492547568526872,1592492547537996973
1592492547599995992,1592492547587952940
1592492547730182876,1592492547697449297
1592492547855070298,1592492547827081655
1592492547968771462,1592492547938010065
1592492548008719329,1592492547996554918
1592492548134814090,1592492548106816249
1592492548263254963,1592492548232564789
1592492548353906287,1592492548322394243
1592492548431427223,1592492548419332769
1592492548561202044,1592492548529520743
1592492548688222764,1592492548658399201
1592492548724026541,1592492548709143686
1592492548845823131,1592492548813895654
1592492548972679632,1592492548942794337
1592492549101669994,1592492549070062194
1592492549149188702,1592492549134820204
1592492549277169627,1592492549246718803
1592492549403381936,1592492549373973015
1592492549490378414,1592492549456825734
1592492549565494669,1592492549539635906
1592492549692700505,1592492549662344650
1592492549821500104,1592492549789665267
1592492549876555177,1592492549859140468
1592492549968340490,1592492549938898920
1592492550096866139,1592492550065448226
1592492550223508186,1592492550193582962
1592492550266583741,1592492550252135390
1592492550393375316,1592492550363919470
1592492550521856005,1592492550490464183
1592492550635427483,1592492550606856945
1592492550662750657,1592492550650591679
1592492550789572241,1592492550760716291
1592492550915135947,1592492550887300919
1592492551018597154,1592492550987299889
1592492551042486326,1592492551030963528
1592492551168250787,1592492551138912963
1592492551297792887,1592492551265472914
1592492551404029833,1592492551372496222
1592492551439256060,1592492551427155258
