recv_stamp,msg_stamp
1588362894189941429,1588362894185874061
1588362894290363036,1588362894286213250
1588362894390150037,1588362894386128693
1588362894490317897,1588362894486083038
1588362894590037847,1588362894586035331
1588362894690101253,1588362894685941580
1588362894790038825,1588362894786018683
1588362894889922584,1588362894885938799
1588362894989856127,1588362894985740734
1588362895089949418,1588362895085743773
1588362895190239432,1588362895185944051
1588362895290136275,1588362895286021620
1588362895389783608,1588362895385861577
1588362895489854076,1588362895485770531
1588362895590112731,1588362895585992558
1588362895690111811,1588362895685945855
1588362895789842794,1588362895786029941
1588362895890033432,1588362895885830698
1588362895990034806,1588362895985859250
1588362896090086319,1588362896085998301
1588362896190009902,1588362896186059689
1588362896290195923,1588362896286038511
1588362896390173588,1588362896386096730
1588362896490239062,1588362896486176640
1588362896590149404,1588362896586044648
1588362896690113204,1588362896685914414
1588362896790803237,1588362896786096288
1588362896890462916,1588362896885833108
1588362896990593447,1588362896985801242
1588362897090284540,1588362897085913029
1588362897190186911,1588362897185879067
1588362897290311287,1588362897285880732
1588362897390018960,1588362897385846434
1588362897489892500,1588362897485840094
1588362897590547398,1588362897585849065
1588362897690674240,1588362897686147215
1588362897790713604,1588362897786221568
1588362897890704030,1588362897886104779
1588362897990895589,1588362897986146333
1588362898090813203,1588362898086142730
1588362898190827881,1588362898186083610
1588362898290795785,1588362898286104828
1588362898390414691,1588362898386036520
1588362898490427714,1588362898486042841
1588362898590267372,1588362898585781885
1588362898690295540,1588362898685715050
1588362898790385886,1588362898785652483
1588362898890261724,1588362898885659205
1588362898990224491,1588362898985714182
1588362899090222992,1588362899085674564
1588362899190456212,1588362899186016308
1588362899290151772,1588362899285998842
1588362899390069626,1588362899386035381
1588362899490614375,1588362899486026249
1588362899590502231,1588362899586016343
1588362899690722881,1588362899686033902
1588362899790041245,1588362899785612095
1588362899890161680,1588362899885708450
1588362899990157691,1588362899985607673
1588362900090082897,1588362900085524470
1588362900190214680,1588362900185493229
1588362900290254967,1588362900285515563
1588362900390106391,1588362900385551003
1588362900490226805,1588362900485583871
1588362900590305221,1588362900585587800
1588362900690180594,1588362900685563180
1588362900790253058,1588362900785380891
1588362900890023757,1588362900885495764
1588362900990082509,1588362900985562486
1588362901090185502,1588362901085702467
1588362901190523165,1588362901186022452
1588362901290400073,1588362901285834980
1588362901391224164,1588362901386126233
1588362901490629115,1588362901486017625
1588362901590532757,1588362901585844211
1588362901690407786,1588362901685874755
1588362901790604052,1588362901785675281
1588362901890140403,1588362901885677084
1588362901990457495,1588362901985889794
1588362902090536034,1588362902085868435
1588362902190561288,1588362902186017016
1588362902290515132,1588362902285924484
1588362902390617241,1588362902386143337
1588362902490459220,1588362902486029273
1588362902590097335,1588362902585624157
1588362902689997298,1588362902685321508
1588362902790151060,1588362902785377898
1588362902890068833,1588362902885355180
1588362902989919115,1588362902985346849
1588362903089743197,1588362903085272960
1588362903190046594,1588362903185505055
1588362903290148421,1588362903285607080
1588362903390038886,1588362903385505944
1588362903490158304,1588362903485672623
1588362903590347542,1588362903585733828
1588362903690314067,1588362903685776049
1588362903790541429,1588362903785803378
1588362903890305584,1588362903885939687
1588362903990150459,1588362903985676179
1588362904089880511,1588362904085340146
